Altium Designer Pick and Place Locations
D:\PCB\FEDEVEL\1_Design_Your_Own_Board\Project Outputs for Design_Your_Own_Board\Pick Place\Pick Place for 28Pins_Projects_V1I1_PCB(FIXED 5V).txt

========================================================================================================================
File Design Information:

Date:       30/08/23
Time:       08:06
Revision:   b4efc6f8afaeb66883beead959a25c8faeb4e235
Variant:    FIXED 5V
Units used: mm

Designator    Comment                     Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                               
J5            HDR_2x3                     TopLayer HDR_2X3_2.54MM                   5.0800mm     48.5140mm    90       "Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Bulk"                                    
J6            HDR_2x3                     TopLayer HDR_2X3_2.54MM                   5.0800mm     39.8780mm    90       "Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Bulk"                                    
J7            10118193-0001LF             TopLayer 10118193                         3.5370mm     20.1000mm    270      "FCI Right Angle Surface Mount Mount Female USB Connector; 100 V ac; 1.8A"                                                
J8            4MMx1.5MM                   TopLayer PAD_WITH_HOLE_4MMX1.5MM          2.1336mm     2.3876mm     0        "Pad with a Hole 4mm X 1.5mm"                                                                                             
J9            4MMx1.5MM                   TopLayer PAD_WITH_HOLE_4MMX1.5MM          2.1336mm     13.1572mm    0        "Pad with a Hole 4mm X 1.5mm"                                                                                             
JP1           HRD_1x3                     TopLayer HDR_MALE_1X3_2.54MM              66.2000mm    44.3600mm    0        "Conn Unshrouded Header HDR 3 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Automotive Bulk"                         
JP3           HDR_1x4_2.5MM               TopLayer HDR_MALE_1X4_2.54MM              14.6000mm    40.7900mm    0        "Conn Unshrouded Header HDR 4 POS 2.54mm Solder ST Thru-Hole Bag"                                                         
L1            "2u2 / 2A"                  TopLayer C1210_IND                        2.2098mm     7.7978mm     270      "Inductor RF Chip Wirewound 2.2uH 20% 100KHz 1.13A 0.104Ohm DCR 1210 T/R"                                                 
MH1           MH_7.4MMC_3.2MMD            TopLayer MH_7.4MMD_3.2MMD                 13.9700mm    2.5400mm     0        "Mounting Hole 7.4mm Diameter, 3.2mm Drill"                                                                               
MH2           MH_7.4MMC_3.2MMD            TopLayer MH_7.4MMD_3.2MMD                 66.0400mm    7.6200mm     0        "Mounting Hole 7.4mm Diameter, 3.2mm Drill"                                                                               
MH3           MH_7.4MMC_3.2MMD            TopLayer MH_7.4MMD_3.2MMD                 66.0400mm    35.5600mm    0        "Mounting Hole 7.4mm Diameter, 3.2mm Drill"                                                                               
MH4           MH_7.4MM_NC_3.2MMD          TopLayer MH_7.4MMD_3.2MMD_NON_COPPER_NPHT 15.2400mm    50.8000mm    0        "Hole 7.4mm Diameter (Non Copper), 3.2mm Drill NPHT"                                                                      
R1            10K                         TopLayer R0805                            17.2974mm    39.4462mm    90       "Res Thick Film 0805 10K Ohm 1% 0.125W(1/8W) +/-100ppm/C Epoxy Pad SMD T/R"                                               
R2            560R                        TopLayer R0805                            28.1940mm    43.9420mm    180      "Res General Purpose Thick Film 0805 560 Ohm 1% 1/8W ±100ppm/°C Molded Paper T/R"                                         
R3            560R                        TopLayer R0805                            28.1940mm    41.7576mm    180      "Res General Purpose Thick Film 0805 560 Ohm 1% 1/8W ±100ppm/°C Molded Paper T/R"                                         
R4            10K                         TopLayer R0805                            9.6774mm     27.2288mm    270      "Res Thick Film 0805 10K Ohm 1% 0.125W(1/8W) +/-100ppm/C Epoxy Pad SMD T/R"                                               
R5            22R                         TopLayer R0805                            9.4488mm     34.8234mm    180      "Res Thick Film 0805 22 Ohm 1% 0.125W(1/8W) ±100ppm/C Pad SMD T/R"                                                        
R6            22R                         TopLayer R0805                            9.6622mm     21.5392mm    0        "Res Thick Film 0805 22 Ohm 1% 0.125W(1/8W) ±100ppm/C Pad SMD T/R"                                                        
R7            22R                         TopLayer R0805                            9.6622mm     19.3802mm    0        "Res Thick Film 0805 22 Ohm 1% 0.125W(1/8W) ±100ppm/C Pad SMD T/R"                                                        
R8            0R                          TopLayer R0805                            9.6520mm     17.2212mm    180      "Surface Mount Thick Film Resistor, RC Series, 125 mW, - 5%, 150 V, 0805 [2012 Metric]"                                   
R9            1M                          TopLayer R0805                            23.3426mm    27.2694mm    90       "Res Thick Film 0805 1M Ohm 1% 0.125W(1/8W) ±100ppm/C Pad SMD T/R"                                                        
